original,article,anchor,link,context
пункта 2 статьи 18,18,z161,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z161"">пункта 2 статьи 18</a>","6) недопущение высылки лиц, ищущих убежище, и беженцев при наличии оснований, предусмотренн"
пунктом 1) статьи 1,1,z2,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z2"">пунктом 1) статьи 1</a>","2. Признание беженцами лиц, являющихся членами одной семьи, осуществляется в отношении кажд"
пункте 1) статьи 1,1,z2,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z2"">пункте 1) статьи 1</a>","В случае отсутствия обстоятельств, предусмотренных в подпункте 1) статьи 1 настоящего Закон"
"статей 10, 12, 13 и 14",10,z99,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z99"">статей 10</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z125"">12</a>, <a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z136"">13</a> и <a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z144"">14</a>","К супругу (супруге) лица, получившего статус беженца или обратившегося за убежищем в Респуб"
пункта 2 статьи 8,8,z65,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z65"">пункта 2 статьи 8</a>",пункта 2 статьи 8 настоящего Закона;
статьи 10,10,z99,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z99"">статьи 10</a>","статьи 10 настоящего Закона, установив, что в период приостановления данный пункт действует в следу"
статьи 11,11,z112,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z112"">статьи 11</a>","статьи 11 настоящего Закона, установив, что в период приостановления данная часть действует в следу"
статьи 12,12,z125,"<a href=""http://85.202.192.66:9096/rus/docs/Z090000216_#z125"">статьи 12</a>",статьи 12 настоящего Закона.
