code,uid,src,chars,tokens
obrazovanie,obrazovanie_z3,summary,3867,794
ugolovniy,ugolovniy_z1705_2,subchunk,1594,680
koap,koap_z3239_1,subchunk,1551,664
nalog,nalog_z9657_1,subchunk,1699,650
ekologicheskiy,ekologicheskiy_z4470,article,1600,633
K1500000377,K1500000377_z505_1,subchunk,1522,633
nalog,nalog_z9650_2,subchunk,1576,623
predprinimatel,predprinimatel_z324_9,subchunk,1481,621
koap,koap_z3239_2,subchunk,1525,614
nalog,nalog_z9650_1,subchunk,1578,600
Z1400000188,Z1400000188_z546_1,subchunk,1531,590
nalog,nalog_z10302_4,subchunk,1526,573
Z1800000204,Z1800000204_z653_2,subchunk,1327,570
nalog,nalog_z10302_1,subchunk,1551,565
appk,appk_z1424_1,subchunk,1529,565
koap,koap_z2792_2,subchunk,1596,564
Z1400000199,Z1400000199_z77,article,1576,557
nalog,nalog_z10302_3,subchunk,1448,556
koap,koap_z2233_2,subchunk,1536,556
nalog,nalog_z10691_11,subchunk,1589,553
nalog,nalog_z10302_2,subchunk,1494,552
Z1300000149,Z1300000149_z3_20,subchunk,1488,540
koap,koap_z2227_4,subchunk,1415,539
Z1300000149,Z1300000149_z3_64,subchunk,1499,538
nalog,nalog_z10691_9,subchunk,1184,537
Z1300000149,Z1300000149_z3_46,subchunk,1498,537
Z1300000149,Z1300000149_z3_6,subchunk,1483,536
Z2500000238,Z2500000238_z80_2,subchunk,1554,532
Z1300000149,Z1300000149_z3_49,subchunk,1489,531
Z2500000238,Z2500000238_z80_21,subchunk,1542,529
UIK,UIK_z889_1,subchunk,1538,525
Z1300000149,Z1300000149_z3_35,subchunk,1493,525
Z1300000149,Z1300000149_z3_34,subchunk,1494,523
koap,koap_z2227_3,subchunk,1514,521
Z1300000149,Z1300000149_z3_62,subchunk,1494,521
Z2500000238,Z2500000238_z80_31,subchunk,1552,519
Z2500000238,Z2500000238_z80_53,subchunk,1545,519
Z2500000238,Z2500000238_z80_36,subchunk,1555,518
koap,koap_z2233_4,subchunk,1471,517
koap,koap_z2233,summary,1502,516
Z2500000238,Z2500000238_z80_11,subchunk,1552,516
Z2500000238,Z2500000238_z80_12,subchunk,1539,516
Z2500000238,Z2500000238_z80_30,subchunk,1555,516
alatau,alatau_z1144,article,1524,515
Z2500000238,Z2500000238_z80_46,subchunk,1545,515
Z1300000149,Z1300000149_z3_8,subchunk,1479,514
