slug,doc_id,n,pre,struct,links,canon,gate,chunk,sa,ca,status,note
U950002255_,U950002255_,40,ok,ok,ok,ok,GREEN,ok,40,40,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
U950002337_,U950002337_,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
U950002723_,U950002723_,49,ok,ok,ok,ok,GREEN,ok,49,49,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z1800000167,Z1800000167,27,ok,ok,ok,ok,GREEN,ok,27,27,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z1800000169,Z1800000169,20,ok,ok,ok,ok,GREEN,ok,20,20,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z1800000178,Z1800000178,9,ok,ok,ok,ok,GREEN,ok,9,9,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z1800000183,Z1800000183,40,ok,ok,ok,ok,GREEN,ok,40,40,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z1800000204,Z1800000204,38,ok,ok,ok,ok,GREEN,ok,38,38,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z1900000212,Z1900000212,21,ok,ok,ok,ok,GREEN,ok,20,20,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z1900000236,Z1900000236,33,ok,ok,ok,ok,GREEN,ok,33,33,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z1900000242,Z1900000242,62,ok,ok,ok,ok,GREEN,ok,62,62,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z1900000275,Z1900000275,4,ok,ok,ok,ok,GREEN,ok,0,0,EMPTY,chunks=0 (структ.статей=0)  (7s)
Z1900000288,Z1900000288,43,ok,ok,ok,ok,GREEN,ok,43,43,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z1900000293,Z1900000293,22,ok,ok,ok,ok,GREEN,ok,22,22,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z2000000333,Z2000000333,21,ok,ok,ok,ok,GREEN,ok,21,21,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z2000000396,Z2000000396,48,ok,ok,ok,ok,GREEN,ok,48,48,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z2100000097,Z2100000097,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z2200000154,Z2200000154,23,ok,ok,ok,ok,GREEN,ok,23,23,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2200000155,Z2200000155,52,ok,ok,ok,ok,GREEN,ok,52,52,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z2200000161,Z2200000161,4,КРИВО,-,-,-,-,-,-,-,QUARANTINE,map 4<<загол 6
Z2200000166,Z2200000166,31,ok,ok,ok,ok,GREEN,ok,31,32,UNDER_CHUNK,чанк-статей 32 != структ-статей 31  (9s)
Z2200000172,Z2200000172,36,ok,ok,ok,ok,GREEN,ok,36,36,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z2200000178,Z2200000178,52,ok,ok,ok,ok,GREEN,ok,53,53,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z2300000016,Z2300000016,14,ok,ok,ok,ok,GREEN,ok,14,14,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000018,Z2300000018,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000030,Z2300000030,16,ok,ok,ok,ok,GREEN,ok,16,16,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000181,Z2300000181,14,ok,ok,ok,ok,GREEN,ok,14,14,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2300000183,Z2300000183,58,ok,ok,ok,ok,GREEN,ok,58,58,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (12s)
Z2300000205,Z2300000205,18,ok,ok,ok,ok,GREEN,ok,18,18,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2400000089,Z2400000089,20,ok,ok,ok,ok,GREEN,ok,20,20,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (7s)
Z2400000093,Z2400000093,70,ok,ok,ok,ok,GREEN,ok,70,70,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (14s)
Z2400000120,Z2400000120,54,ok,ok,ok,ok,GREEN,ok,54,54,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (14s)
Z2500000193,Z2500000193,24,ok,ok,ok,ok,GREEN,ok,24,24,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (10s)
Z2500000199,Z2500000199,36,ok,ok,ok,ok,GREEN,ok,36,36,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (11s)
Z2500000201,Z2500000201,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (9s)
Z2500000230,Z2500000230,31,ok,ok,ok,ok,GREEN,ok,31,31,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (8s)
Z2500000238,Z2500000238,4,ok,ok,ok,ok,GREEN,ok,4,4,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (25s)
Z2500000245,Z2500000245,85,ok,ok,ok,ok,GREEN,ok,85,85,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z2600000290,Z2600000290,90,ok,ok,ok,ok,GREEN,ok,90,90,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (29s)
Z2600000296,Z2600000296,43,ok,ok,ok,ok,GREEN,ok,43,43,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z2600000297,Z2600000297,60,ok,ok,ok,ok,GREEN,ok,60,60,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (22s)
Z2600000298,Z2600000298,23,ok,ok,ok,ok,GREEN,ok,23,23,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z2600000299,Z2600000299,18,ok,ok,ok,ok,GREEN,ok,18,18,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z2600000300,Z2600000300,22,ok,ok,ok,ok,GREEN,ok,22,22,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (16s)
Z2600000332,Z2600000332,22,ok,ok,ok,ok,GREEN,ok,22,22,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (14s)
Z2600000335,Z2600000335,41,ok,ok,ok,ok,GREEN,ok,41,41,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (20s)
Z2600000341,Z2600000341,26,ok,ok,ok,ok,GREEN,ok,26,26,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (15s)
Z900002400_,Z900002400_,0,КРИВО,-,-,-,-,-,-,-,QUARANTINE,статей=0
Z910004400_,Z910004400_,18,ok,ok,ok,ok,GREEN,ok,18,18,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (13s)
Z920002600_,Z920002600_,25,ok,ok,ok,ok,GREEN,ok,25,25,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (14s)
Z920003600_,Z920003600_,21,ok,ok,ok,ok,GREEN,ok,21,21,DONE,written: C:\Users\user\Desktop\ADILETkz\reports\gates\69_six  (14s)
